CODICESCUOLA,DENOMINAZIONESCUOLA,DESCRIZIONECOMUNE,PROVINCIA,REGIONE,CLASSE_KEY,COMBINAZIONE_NORM,CLASSE_DISPLAY,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,CODICEISTITUTORIFERIMENTO,DENOMINAZIONEISTITUTORIFERIMENTO
MT1E00100E,,,,,1A,27 ORE OBBLIGATORIE + 3 ORE OPZIONALI,1A - 27 ORE OBBLIGATORIE + 3 ORE OPZIONALI,,,
MT1E00100E,,,,,2A,27 ORE OBBLIGATORIE + 3 ORE OPZIONALI,2A - 27 ORE OBBLIGATORIE + 3 ORE OPZIONALI,,,
MT1E00100E,,,,,3A,27 ORE OBBLIGATORIE + 3 ORE OPZIONALI,3A - 27 ORE OBBLIGATORIE + 3 ORE OPZIONALI,,,
MT1E00100E,,,,,4A,27 ORE OBBLIGATORIE + 3 ORE OPZIONALI,4A - 27 ORE OBBLIGATORIE + 3 ORE OPZIONALI,,,
MT1E00100E,,,,,5A,27 ORE OBBLIGATORIE + 3 ORE OPZIONALI,5A - 27 ORE OBBLIGATORIE + 3 ORE OPZIONALI,,,
MTEE808013,S.G.BOSCO - GRASSANO,GRASSANO,MATERA,BASILICATA,1A,40 ORE A TEMPO PIENO,1A - 40 ORE A TEMPO PIENO,SCUOLA PRIMARIA,MTIC808001,I.C. GRASSANO - MIGLIONICO
MTEE808013,S.G.BOSCO - GRASSANO,GRASSANO,MATERA,BASILICATA,1B,27 ORE SETTIMANALI,1B - 27 ORE SETTIMANALI,SCUOLA PRIMARIA,MTIC808001,I.C. GRASSANO - MIGLIONICO
MTEE808013,S.G.BOSCO - GRASSANO,GRASSANO,MATERA,BASILICATA,1C,40 ORE A TEMPO PIENO CON 2 DOCENTI,1C - 40 ORE A TEMPO PIENO CON 2 DOCENTI,SCUOLA PRIMARIA,MTIC808001,I.C. GRASSANO - MIGLIONICO
MTEE808013,S.G.BOSCO - GRASSANO,GRASSANO,MATERA,BASILICATA,2A,40 ORE A TEMPO PIENO,2A - 40 ORE A TEMPO PIENO,SCUOLA PRIMARIA,MTIC808001,I.C. GRASSANO - MIGLIONICO
MTEE808013,S.G.BOSCO - GRASSANO,GRASSANO,MATERA,BASILICATA,2B,27 ORE SETTIMANALI,2B - 27 ORE SETTIMANALI,SCUOLA PRIMARIA,MTIC808001,I.C. GRASSANO - MIGLIONICO
MTEE808013,S.G.BOSCO - GRASSANO,GRASSANO,MATERA,BASILICATA,3A,40 ORE A TEMPO PIENO,3A - 40 ORE A TEMPO PIENO,SCUOLA PRIMARIA,MTIC808001,I.C. GRASSANO - MIGLIONICO
MTEE808013,S.G.BOSCO - GRASSANO,GRASSANO,MATERA,BASILICATA,3B,27 ORE SETTIMANALI,3B - 27 ORE SETTIMANALI,SCUOLA PRIMARIA,MTIC808001,I.C. GRASSANO - MIGLIONICO
MTEE808013,S.G.BOSCO - GRASSANO,GRASSANO,MATERA,BASILICATA,4A,40 ORE A TEMPO PIENO,4A - 40 ORE A TEMPO PIENO,SCUOLA PRIMARIA,MTIC808001,I.C. GRASSANO - MIGLIONICO
MTEE808013,S.G.BOSCO - GRASSANO,GRASSANO,MATERA,BASILICATA,4B,27 ORE SETTIMANALI,4B - 27 ORE SETTIMANALI,SCUOLA PRIMARIA,MTIC808001,I.C. GRASSANO - MIGLIONICO
